invoice_number,account_number,business_name,recommended_action,supabase_total,supabase_paid,target_total,collect_after_correction,payment_collection_method,db_mandate_status,db_mandate_id,db_max_debit_amount,db_last_four,db_method_type,netcash_mandate_status_code,netcash_mandate_label,netcash_mandate_outcome,netcash_mandate_verified,mandate_allows_target,mandate_allows_67_50,supabase_netcash_tx_count,supabase_netcash_tx_amounts,supabase_netcash_tx_refs,statement_hits,amount_match_notes
INV-2026-00022,CT-2026-00010,Unjani Clinic - Chloorkop,IGNORE_VOID,450.00,0.00,517.50,517.50,paynow,,,,,,,NOT_IN_MANDATE_FILE,missing,,,,0,,,,NO_NETCASH_MANDATE_ROW
INV-2026-00028,CT-2026-00015,Unjani Clinic - Sicelo,IGNORE_VOID,450.00,0.00,517.50,517.50,paynow,,,,,,,NOT_IN_MANDATE_FILE,missing,,,,0,,,,NO_NETCASH_MANDATE_ROW
INV-2026-00029,CT-2026-00018,Unjani Clinic - Oukasie,IGNORE_VOID,450.00,0.00,517.50,517.50,paynow,,,,,,,NOT_IN_MANDATE_FILE,missing,,,,0,,,,NO_NETCASH_MANDATE_ROW
INV-2026-00031,CT-2026-00025,Unjani Clinic - Phoenix,IGNORE_VOID,450.00,0.00,517.50,517.50,paynow,,,,,,,NOT_IN_MANDATE_FILE,missing,,,,0,,,,NO_NETCASH_MANDATE_ROW
INV-2026-00014,CT-2026-00016,Unjani Clinic - Heidelberg,LEAVE,276.00,276.00,276.00,0.00,paynow,active,,,2449,debit_order,2,Awaiting authorisation,pending,false,,,1,276@completed,INV-2026-00014,2026-06-26:TDD:276:+:,DB_TX_MATCHES_INVOICE_TOTAL|COLLECTED_276_CORRECT_PRORATA|STATEMENT_AMOUNT_MATCHES_INVOICE|MANDATE_NOT_ACTIVE
INV-2026-00015,CT-2026-00017,Unjani Clinic - Barcelona,LEAVE,276.00,276.00,276.00,0.00,paynow,active,,,5757,debit_order,2,Awaiting authorisation,pending,false,,,1,276@completed,INV-2026-00015,2026-06-26:TDD:276:+:,DB_TX_MATCHES_INVOICE_TOTAL|COLLECTED_276_CORRECT_PRORATA|STATEMENT_AMOUNT_MATCHES_INVOICE|MANDATE_NOT_ACTIVE
INV-2026-00016,CT-2026-00022,Unjani Clinic - Kayamandi,LEAVE,276.00,276.00,276.00,0.00,debit_order,active,,,5967,debit_order,2,Awaiting authorisation,pending,false,,,1,276@completed,INV-2026-00016,2026-07-01:TDD:276:+:,DB_TX_MATCHES_INVOICE_TOTAL|COLLECTED_276_CORRECT_PRORATA|STATEMENT_AMOUNT_MATCHES_INVOICE|MANDATE_NOT_ACTIVE
INV-2026-00017,CT-2026-00011,Mbali Zwakele Gumbi T/A Unjani Clinic - Cosmo City,LEAVE,276.00,0.00,276.00,276.00,debit_order,active,,,9534,debit_order,6,Accepted,active,false,,,0,,,,
INV-2026-00018,CT-2026-00012,Bhekilanga Health Care,LEAVE,276.00,276.00,276.00,0.00,debit_order,active,,,7437,debit_order,2,Awaiting authorisation,pending,false,,,1,276@completed,INV-2026-00018,2026-07-01:TDD:276:+:,DB_TX_MATCHES_INVOICE_TOTAL|COLLECTED_276_CORRECT_PRORATA|STATEMENT_AMOUNT_MATCHES_INVOICE|MANDATE_NOT_ACTIVE
INV-2026-00037,CT-2026-00028,Unjani Clinic - Soshanguve (Block P),LEAVE,276.00,0.00,276.00,276.00,debit_order,active,,,8447,debit_order,2,Awaiting authorisation,pending,false,,,0,,,,MANDATE_NOT_ACTIVE
INV-2026-00038,CT-2026-00028,Unjani Clinic - Soshanguve (Block P),LEAVE,517.50,0.00,517.50,517.50,debit_order,active,,,8447,debit_order,2,Awaiting authorisation,pending,false,,,0,,,,MANDATE_NOT_ACTIVE
INV-2026-00039,CT-2026-00023,Unjani Clinic - Zamdela,LEAVE,276.00,0.00,276.00,276.00,debit_order,active,,,3800,debit_order,,NOT_IN_MANDATE_FILE,missing,,,,0,,,,NO_NETCASH_MANDATE_ROW
INV-2026-00040,CT-2026-00023,Unjani Clinic - Zamdela,LEAVE,517.50,0.00,517.50,517.50,debit_order,active,,,3800,debit_order,,NOT_IN_MANDATE_FILE,missing,,,,0,,,,NO_NETCASH_MANDATE_ROW
