site_id,priority,clinic,province,district,backhaul_cluster,cluster_tier,rollout_phase,address,latitude,longitude,geocode_source,geocode_confidence,recommended_access_technology,notes,dfa_status,dfa_nearnet_distance_m,dfa_products_available,dfa_reference,checked_date
UNJ-165,3,Jane Furse,Limpopo,Greater Tubatse,Greater Sekhukhune,2,3,"Jane Furse RDP, Stand 366, Jane Furse",-24.7603662,29.8486568,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-172,3,Ka-Mpakani,Limpopo,Mopani,Mopani,2,3,"Stand 298, next to R529 Tzaneen & Giyani Road, Ka-Mpakani Village",-23.614496,30.685054,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-185,3,KaMajosi,Limpopo,Vhembe,Vhembe,2,3,"Stand 219, Main Road, Majosi Village",-23.2188833,30.3265109,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-155,3,Lebowakgomo,Limpopo,Capricorn,Capricorn / Polokwane,2,3,"House 1811 Zone F, opposite Mall@Lebo, Lebowakgomo",-24.3165088,29.476706,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-195,3,Lephalale,Limpopo,Waterberg,Waterberg,3,4,"Marapong Shopping Centre, Relebogile Street, Lephalale",-23.65519,27.620197,Google Places,AUTO-GEOCODED,LTE uncapped primary; Tarana where tower LOS exists,,,,,,
UNJ-173,3,Mahlakung,Limpopo,Mopani,Mopani,2,3,"Stand 1171, Moropung Mmola Road, Mahlakung Mall, Ga-Sekororo",-24.2391875,30.4433594,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-186,3,Malamulele,Limpopo,Vhembe,Vhembe,2,3,"778 Mangasteel Complex, Cnr R81 and Main Road, Malamulele",-23.0069332,30.6853,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-157,3,Mankweng,Limpopo,Capricorn,Capricorn / Polokwane,2,3,"Stand 655, Mankweng Unit B, Mankweng",-23.8840655,29.7105954,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-158,3,Mentz,Limpopo,Capricorn,Capricorn / Polokwane,2,3,"Stand 192, Motsepe Wholesale, R71, Mentz-Matshilapata",-23.9112755,29.7772395,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-196,3,Modimolle,Limpopo,Waterberg,Waterberg,3,4,"No 254 Gys Van Rooyen Street, Modimolle",-24.6957762,28.4140706,Google Places,AUTO-GEOCODED,LTE uncapped primary; Tarana where tower LOS exists,,,,,,
